Date,Walking + Running (mi),Workout Type, DURATION,Week
1/28/23,0.0,Running,30m,1
1/29/23,0.0,Functional Strength Training,1h 25m,1
1/31/23,0.0,Functional Strength Training,30m,1
2/1/23,0.0,Functional Strength Training,43m,1
2/6/23,0.0,Functional Strength Training,16m,2
2/6/23,0.0,Functional Strength Training,1h 1m,2
2/7/23,0.0,Functional Strength Training,1h 9m,2
2/8/23,0.0,Running,15m,2
2/11/23,0.0,Functional Strength Training,27m,3
2/13/23,0.0,Functional Strength Training,3m,3
2/13/23,0.0,Functional Strength Training,21m,3
2/14/23,0.0,Running,12m,3
2/15/23,0.0,Functional Strength Training,47m,3
2/16/23,0.0,Functional Strength Training,29m,3
2/17/23,0.0,Functional Strength Training,31m,3
2/20/23,0.0,Functional Strength Training,26m,4
2/21/23,0.0,Functional Strength Training,40m,4
2/22/23,0.0,Functional Strength Training,7m,4
2/22/23,0.0,Functional Strength Training,28m,4
2/23/23,0.0,Running,28m,4
2/25/23,0.0,Functional Strength Training,25m,5
2/26/23,0.0,Functional Strength Training,21m,5
2/27/23,0.0,Functional Strength Training,28m,5
2/28/23,0.0,Functional Strength Training,6m,5
3/1/23,0.0,Functional Strength Training,18m,5
3/1/23,0.0,Running,6m,5
3/2/23,0.0,Functional Strength Training,16m,5
3/2/23,0.0,Functional Strength Training,25m,5
3/3/23,0.0,Functional Strength Training,6m,5
3/4/23,0.0,Functional Strength Training,40m,6
3/5/23,0.0,Functional Strength Training,33m,6
3/9/23,0.0,Running,30m,6
3/10/23,0.0,Functional Strength Training,32m,6
3/11/23,0.0,Functional Strength Training,39m,7
3/12/23,0.0,Functional Strength Training,31m,7
3/15/23,0.0,Running,30m,7
3/16/23,0.0,Functional Strength Training,30m,7
3/17/23,0.0,Functional Strength Training,30m,7
3/18/23,0.0,Functional Strength Training,7m,8
3/20/23,0.0,Functional Strength Training,19m,8
3/22/23,0.0,Running,7m,8
3/22/23,0.0,Functional Strength Training,23m,8
3/29/23,0.0,Functional Strength Training,26m,9
3/30/23,0.0,Functional Strength Training,26m,9
4/1/23,0.0,Functional Strength Training,39m,10
4/2/23,0.0,Functional Strength Training,24m,10
4/3/23,0.0,Functional Strength Training,34m,10
4/4/23,0.0,Running,7m,10
4/4/23,0.0,Functional Strength Training,26m,10
4/5/23,0.0,Functional Strength Training,39m,10
4/6/23,0.0,Running,6m,10
4/8/23,0.0,Running,20m,11
4/10/23,0.0,Functional Strength Training,13m,11
4/10/23,0.0,Functional Strength Training,9m,11
4/11/23,0.0,Functional Strength Training,33m,11
4/13/23,0.0,Running,30m,11
4/19/23,0.0,Running,13m,12
4/19/23,0.0,Functional Strength Training,9m,12
4/20/23,0.0,Running,13m,12
4/20/23,0.0,Functional Strength Training,16m,12
4/24/23,0.0,Functional Strength Training,9m,13
4/24/23,0.0,Running,14m,13
4/24/23,0.0,Functional Strength Training,52m,13
4/25/23,0.0,Functional Strength Training,0m,13
4/27/23,0.0,Functional Strength Training,20m,13
4/27/23,0.0,Running,30m,13
4/30/23,0.0,Functional Strength Training,1h 16m,14
4/30/23,0.0,Running,21m,14
5/4/23,0.0,Functional Strength Training,35m,14
5/9/23,0.0,Functional Strength Training,43m,15
5/10/23,0.0,Functional Strength Training,29m,15
5/11/23,0.0,Running,11m,15
5/11/23,0.0,Functional Strength Training,2m,15
